time(ms);dim;error
15.625000;104;0.000000
15.625000;121;0.000000
15.625000;127;0.000000
15.625000;137;0.000000
15.625000;142;0.000000
15.625000;146;0.000000
15.625000;149;0.000000
15.625000;153;0.000000
15.625000;156;0.000000
15.625000;159;0.000000
15.625000;162;0.000000
15.625000;165;0.000000
15.625000;168;0.000000
15.625000;170;0.000000
15.625000;173;0.000000
15.625000;175;0.000000
15.625000;180;0.000000
15.625000;182;0.000000
15.625000;184;0.000000
15.625000;186;0.000000
15.625000;188;0.000000
15.625000;189;0.000000
15.625000;191;0.000000
15.625000;193;0.000000
15.625000;195;0.000000
15.625000;198;0.000000
15.625000;200;0.000000
15.625000;201;0.000000
15.625000;203;0.000000
15.625000;204;0.000000
15.625000;206;0.000000
15.625000;207;0.000000
15.625000;209;0.000000
15.625000;210;0.000000
15.625000;211;0.000000
15.625000;212;0.000000
15.625000;213;0.000000
15.625000;214;0.000000
15.625000;215;0.000000
15.625000;216;0.000000
15.625000;217;0.000000
15.625000;219;0.000000
15.625000;220;0.000000
31.250000;221;0.000000
15.625000;224;0.000000
15.625000;225;0.000000
15.625000;226;0.000000
15.625000;227;0.000000
15.625000;228;0.000000
15.625000;229;0.000000
15.625000;230;0.000000
31.250000;231;0.000000
15.625000;232;0.000000
15.625000;233;0.000000
15.625000;234;0.000000
15.625000;235;0.000000
15.625000;236;0.000000
15.625000;237;0.000000
31.250000;238;0.000000
15.625000;239;0.000000
15.625000;240;0.000000
15.625000;241;0.000000
15.625000;242;0.000000
15.625000;243;0.000000
15.625000;244;0.000000
15.625000;245;0.000000
15.625000;246;0.000000
31.250000;247;0.000000
15.625000;248;0.000000
31.250000;249;0.000000
15.625000;250;0.000000
31.250000;251;0.000000
15.625000;252;0.000000
31.250000;253;0.000000
15.625000;254;0.000000
15.625000;255;0.000000
31.250000;256;0.000000
31.250000;257;0.000000
15.625000;258;0.000000
15.625000;259;0.000000
46.875000;260;0.000000
15.625000;261;0.000000
31.250000;262;0.000000
15.625000;263;0.000000
31.250000;264;0.000000
15.625000;265;0.000000
31.250000;266;0.000000
15.625000;267;0.000000
31.250000;268;0.000000
15.625000;269;0.000000
31.250000;270;0.000000
31.250000;271;0.000000
31.250000;272;0.000000
15.625000;273;0.000000
31.250000;274;0.000000
31.250000;275;0.000000
15.625000;276;0.000000
31.250000;277;0.000000
31.250000;278;0.000000
31.250000;279;0.000000
15.625000;280;0.000000
46.875000;281;0.000000
31.250000;282;0.000000
46.875000;283;0.000000
31.250000;284;0.000000
31.250000;285;0.000000
46.875000;286;0.000000
31.250000;287;0.000000
31.250000;288;0.000000
31.250000;289;0.000000
31.250000;290;0.000000
15.625000;291;0.000000
15.625000;292;0.000000
46.875000;293;0.000000
46.875000;294;0.000000
31.250000;295;0.000000
46.875000;296;0.000000
46.875000;297;0.000000
31.250000;298;0.000000
31.250000;299;0.000000
31.250000;300;0.000000
46.875000;301;0.000000
46.875000;302;0.000000
31.250000;303;0.000000
46.875000;304;0.000000
31.250000;305;0.000000
31.250000;306;0.000000
46.875000;307;0.000000
46.875000;308;0.000000
31.250000;309;0.000000
31.250000;310;0.000000
31.250000;311;0.000000
31.250000;312;0.000000
46.875000;313;0.000000
31.250000;314;0.000000
62.500000;315;0.000000
31.250000;316;0.000000
31.250000;317;0.000000
31.250000;318;0.000000
46.875000;319;0.000000
46.875000;320;0.000000
46.875000;321;0.000000
31.250000;322;0.000000
31.250000;323;0.000000
78.125000;324;0.000000
31.250000;325;0.000000
46.875000;326;0.000000
46.875000;327;0.000000
46.875000;328;0.000000
46.875000;329;0.000000
46.875000;330;0.000000
46.875000;331;0.000000
46.875000;332;0.000000
46.875000;333;0.000000
46.875000;334;0.000000
46.875000;335;0.000000
78.125000;336;0.000000
46.875000;337;0.000000
62.500000;338;0.000000
62.500000;339;0.000000
46.875000;340;0.000000
46.875000;341;0.000000
46.875000;342;0.000000
78.125000;343;0.000000
62.500000;344;0.000000
62.500000;345;0.000000
46.875000;346;0.000000
62.500000;347;0.000000
46.875000;348;0.000000
93.750000;349;0.000000
62.500000;350;0.000000
46.875000;351;0.000000
62.500000;352;0.000000
93.750000;353;0.000000
46.875000;354;0.000000
46.875000;355;0.000000
62.500000;356;0.000000
62.500000;357;0.000000
62.500000;358;0.000000
78.125000;359;0.000000
109.375000;360;0.000000
62.500000;361;0.000000
62.500000;362;0.000000
62.500000;363;0.000000
62.500000;364;0.000000
62.500000;365;0.000000
109.375000;366;0.000000
93.750000;367;0.000000
78.125000;368;0.000000
93.750000;369;0.000000
78.125000;370;0.000000
62.500000;371;0.000000
109.375000;372;0.000000
93.750000;373;0.000000
78.125000;374;0.000000
62.500000;375;0.000000
78.125000;376;0.000000
62.500000;377;0.000000
78.125000;378;0.000000
62.500000;379;0.000000
125.000000;380;0.000000
62.500000;381;0.000000
62.500000;382;0.000000
78.125000;383;0.000000
78.125000;384;0.000000
78.125000;385;0.000000
62.500000;386;0.000000
62.500000;387;0.000000
78.125000;388;0.000000
78.125000;389;0.000000
78.125000;390;0.000000
125.000000;391;0.000000
78.125000;392;0.000000
78.125000;393;0.000000
78.125000;394;0.000000
78.125000;395;0.000000
78.125000;396;0.000000
