time(ms);dim;error
15.625000;121;0.000000
15.625000;131;0.000000
15.625000;139;0.000000
15.625000;146;0.000000
15.625000;152;0.000000
15.625000;158;0.000000
15.625000;163;-0.000000
15.625000;167;0.000000
15.625000;172;0.000000
15.625000;176;-0.000000
15.625000;180;-0.000000
15.625000;183;0.000000
15.625000;186;0.000000
15.625000;189;0.000000
15.625000;192;-0.000000
15.625000;195;-0.000000
15.625000;198;-0.000000
15.625000;201;-0.000000
15.625000;204;-0.000000
15.625000;206;0.000000
15.625000;209;0.000000
15.625000;211;-0.000000
15.625000;216;-0.000000
15.625000;218;0.000000
15.625000;220;0.000000
15.625000;222;-0.000000
15.625000;224;0.000000
15.625000;226;0.000000
15.625000;228;0.000000
15.625000;230;0.000000
15.625000;232;-0.000000
15.625000;235;0.000000
15.625000;237;-0.000000
15.625000;239;0.000000
15.625000;240;0.000000
15.625000;242;0.000000
15.625000;244;0.000000
15.625000;245;-0.000000
15.625000;247;-0.000000
15.625000;248;-0.000000
15.625000;250;-0.000000
15.625000;251;0.000000
15.625000;253;-0.000000
15.625000;254;-0.000000
15.625000;256;0.000000
15.625000;257;0.000000
15.625000;258;0.000000
15.625000;260;-0.000000
15.625000;261;0.000000
15.625000;262;0.000000
15.625000;265;-0.000000
15.625000;266;-0.000000
15.625000;267;0.000000
15.625000;270;0.000000
15.625000;271;-0.000000
15.625000;272;0.000000
15.625000;273;0.000000
15.625000;274;-0.000000
15.625000;275;0.000000
15.625000;276;-0.000000
15.625000;277;0.000000
15.625000;283;-0.000000
15.625000;284;0.000000
15.625000;285;0.000000
15.625000;286;0.000000
15.625000;287;0.000000
15.625000;288;-0.000000
15.625000;289;0.000000
15.625000;290;-0.000000
15.625000;291;0.000000
15.625000;292;0.000000
15.625000;293;0.000000
15.625000;294;-0.000000
15.625000;295;-0.000000
15.625000;296;-0.000000
15.625000;297;-0.000000
15.625000;298;0.000000
15.625000;299;0.000000
15.625000;300;0.000000
15.625000;301;0.000000
15.625000;302;0.000000
15.625000;303;-0.000000
15.625000;304;-0.000000
15.625000;305;0.000000
15.625000;306;-0.000000
31.250000;307;-0.000000
15.625000;308;-0.000000
15.625000;309;-0.000000
15.625000;310;-0.000000
15.625000;311;-0.000000
15.625000;312;0.000000
15.625000;313;0.000000
31.250000;314;0.000000
15.625000;315;-0.000000
15.625000;316;-0.000000
31.250000;317;0.000000
15.625000;318;0.000000
15.625000;319;-0.000000
15.625000;320;-0.000000
15.625000;321;-0.000000
31.250000;322;0.000000
15.625000;323;-0.000000
15.625000;324;-0.000000
15.625000;325;0.000000
15.625000;326;0.000000
15.625000;327;-0.000000
15.625000;328;-0.000000
15.625000;329;0.000000
31.250000;330;0.000000
15.625000;331;-0.000000
31.250000;332;0.000000
15.625000;333;0.000000
31.250000;334;0.000000
15.625000;335;-0.000000
31.250000;336;-0.000000
31.250000;337;0.000000
15.625000;338;0.000000
31.250000;339;0.000000
15.625000;340;0.000000
15.625000;341;-0.000000
31.250000;342;-0.000000
31.250000;343;0.000000
15.625000;344;0.000000
31.250000;345;-0.000000
31.250000;346;0.000000
31.250000;347;-0.000000
15.625000;348;-0.000000
31.250000;349;-0.000000
31.250000;350;-0.000000
31.250000;351;0.000000
15.625000;352;-0.000000
15.625000;353;-0.000000
31.250000;354;0.000000
31.250000;355;0.000000
31.250000;356;0.000000
31.250000;357;0.000000
31.250000;358;0.000000
31.250000;359;-0.000000
31.250000;360;0.000000
31.250000;361;0.000000
31.250000;362;0.000000
31.250000;363;0.000000
31.250000;364;-0.000000
31.250000;365;-0.000000
31.250000;366;0.000000
31.250000;367;0.000000
31.250000;368;0.000000
31.250000;369;0.000000
15.625000;370;0.000000
31.250000;371;-0.000000
31.250000;372;-0.000000
31.250000;373;0.000000
31.250000;374;-0.000000
31.250000;375;-0.000000
31.250000;376;0.000000
31.250000;377;0.000000
31.250000;378;0.000000
31.250000;379;0.000000
46.875000;380;-0.000000
31.250000;381;-0.000000
31.250000;382;-0.000000
46.875000;383;0.000000
31.250000;384;-0.000000
46.875000;385;0.000000
31.250000;386;0.000000
46.875000;387;-0.000000
31.250000;388;0.000000
46.875000;389;0.000000
31.250000;390;-0.000000
46.875000;391;0.000000
15.625000;392;0.000000
46.875000;393;0.000000
15.625000;394;0.000000
46.875000;395;0.000000
31.250000;396;0.000000
31.250000;397;0.000000
46.875000;398;0.000000
31.250000;399;-0.000000
31.250000;400;0.000000
46.875000;401;-0.000000
46.875000;402;-0.000000
46.875000;403;-0.000000
31.250000;404;0.000000
31.250000;405;0.000000
31.250000;406;-0.000000
46.875000;407;0.000000
46.875000;408;0.000000
46.875000;409;-0.000000
46.875000;410;0.000000
31.250000;411;0.000000
31.250000;412;0.000000
46.875000;413;-0.000000
46.875000;414;-0.000000
46.875000;415;-0.000000
46.875000;416;0.000000
46.875000;417;-0.000000
46.875000;418;0.000000
46.875000;419;0.000000
46.875000;420;0.000000
31.250000;421;0.000000
46.875000;422;0.000000
46.875000;423;-0.000000
46.875000;424;0.000000
46.875000;425;-0.000000
46.875000;426;-0.000000
46.875000;427;-0.000000
46.875000;428;-0.000000
46.875000;429;-0.000000
46.875000;430;-0.000000
46.875000;431;0.000000
31.250000;432;-0.000000
46.875000;433;0.000000
46.875000;434;0.000000
62.500000;435;-0.000000
46.875000;436;0.000000
62.500000;437;0.000000
46.875000;438;-0.000000
62.500000;439;-0.000000
46.875000;440;0.000000
62.500000;441;-0.000000
46.875000;442;-0.000000
62.500000;443;-0.000000
46.875000;444;0.000000
62.500000;445;-0.000000
46.875000;446;0.000000
46.875000;447;0.000000
62.500000;448;0.000000
46.875000;449;-0.000000
62.500000;450;0.000000
62.500000;451;-0.000000
46.875000;452;-0.000000
46.875000;453;-0.000000
62.500000;454;0.000000
62.500000;455;0.000000
46.875000;456;-0.000000
46.875000;457;0.000000
46.875000;458;-0.000000
46.875000;459;0.000000
78.125000;460;0.000000
62.500000;461;-0.000000
62.500000;462;-0.000000
62.500000;463;0.000000
62.500000;464;-0.000000
62.500000;465;-0.000000
62.500000;466;-0.000000
62.500000;467;-0.000000
62.500000;468;-0.000000
46.875000;469;-0.000000
62.500000;470;0.000000
62.500000;471;-0.000000
62.500000;472;-0.000000
62.500000;473;0.000000
78.125000;474;-0.000000
62.500000;475;0.000000
62.500000;476;0.000000
62.500000;477;-0.000000
62.500000;478;-0.000000
78.125000;479;-0.000000
62.500000;480;0.000000
78.125000;481;0.000000
62.500000;482;-0.000000
78.125000;483;0.000000
62.500000;484;-0.000000
78.125000;485;0.000000
78.125000;486;-0.000000
62.500000;487;-0.000000
62.500000;488;0.000000
78.125000;489;-0.000000
78.125000;490;0.000000
62.500000;491;0.000000
62.500000;492;0.000000
78.125000;493;-0.000000
78.125000;494;-0.000000
62.500000;495;-0.000000
62.500000;496;-0.000000
62.500000;497;0.000000
78.125000;498;-0.000000
78.125000;499;0.000000
78.125000;500;0.000000
78.125000;501;-0.000000
78.125000;502;0.000000
78.125000;503;0.000000
78.125000;504;-0.000000
62.500000;505;-0.000000
78.125000;506;0.000000
78.125000;507;-0.000000
78.125000;508;-0.000000
78.125000;509;0.000000
78.125000;510;0.000000
78.125000;511;-0.000000
78.125000;512;0.000000
78.125000;513;0.000000
78.125000;514;0.000000
78.125000;515;0.000000
93.750000;516;0.000000
78.125000;517;0.000000
93.750000;518;0.000000
78.125000;519;0.000000
78.125000;520;0.000000
78.125000;521;0.000000
78.125000;522;-0.000000
93.750000;523;0.000000
78.125000;524;0.000000
78.125000;525;-0.000000
93.750000;526;0.000000
93.750000;527;-0.000000
78.125000;528;-0.000000
78.125000;529;0.000000
93.750000;530;0.000000
93.750000;531;0.000000
93.750000;532;-0.000000
93.750000;533;0.000000
93.750000;534;0.000000
93.750000;535;-0.000000
93.750000;536;0.000000
78.125000;537;-0.000000
93.750000;538;0.000000
93.750000;539;-0.000000
93.750000;540;0.000000
93.750000;541;-0.000000
78.125000;542;0.000000
93.750000;543;-0.000000
93.750000;544;0.000000
93.750000;545;0.000000
93.750000;546;0.000000
93.750000;547;0.000000
93.750000;548;0.000000
93.750000;549;-0.000000
93.750000;550;-0.000000
109.375000;551;-0.000000
93.750000;552;0.000000
93.750000;553;0.000000
109.375000;554;0.000000
93.750000;555;0.000000
93.750000;556;0.000000
109.375000;557;-0.000000
109.375000;558;0.000000
93.750000;559;0.000000
93.750000;560;0.000000
93.750000;561;0.000000
93.750000;562;-0.000000
93.750000;563;0.000000
93.750000;564;0.000000
109.375000;565;0.000000
109.375000;566;-0.000000
93.750000;567;0.000000
109.375000;568;0.000000
109.375000;569;-0.000000
109.375000;570;0.000000
109.375000;571;0.000000
109.375000;572;-0.000000
109.375000;573;-0.000000
109.375000;574;0.000000
125.000000;575;-0.000000
109.375000;576;-0.000000
109.375000;577;0.000000
125.000000;578;0.000000
109.375000;579;-0.000000
93.750000;580;-0.000000
125.000000;581;-0.000000
109.375000;582;0.000000
93.750000;583;-0.000000
125.000000;584;0.000000
125.000000;585;0.000000
125.000000;586;0.000000
125.000000;587;0.000000
125.000000;588;0.000000
125.000000;589;0.000000
125.000000;590;-0.000000
125.000000;591;-0.000000
125.000000;592;0.000000
109.375000;593;-0.000000
125.000000;594;-0.000000
125.000000;595;0.000000
125.000000;596;-0.000000
125.000000;597;0.000000
125.000000;598;-0.000000
125.000000;599;0.000000
125.000000;600;0.000000
125.000000;601;-0.000000
125.000000;602;-0.000000
125.000000;603;0.000000
125.000000;604;0.000000
140.625000;605;-0.000000
125.000000;606;-0.000000
125.000000;607;-0.000000
140.625000;608;-0.000000
140.625000;609;-0.000000
125.000000;610;0.000000
125.000000;611;-0.000000
125.000000;612;0.000000
125.000000;613;-0.000000
125.000000;614;-0.000000
125.000000;615;0.000000
140.625000;616;0.000000
140.625000;617;0.000000
140.625000;618;0.000000
140.625000;619;-0.000000
125.000000;620;-0.000000
140.625000;621;-0.000000
140.625000;622;-0.000000
140.625000;623;0.000000
140.625000;624;0.000000
156.250000;625;0.000000
140.625000;626;-0.000000
140.625000;627;-0.000000
